board_id,row_scope,group_pair_key,university_code,university_name,group_code,year,province,batch,subject_category,min_score,min_rank,action_bucket,latest_local_status,safe_auto_next_step,blocked_until,user_input_needed,approval_packet_id,lookup_score,consumer_group_pair_keys,required_next_artifact,source_url,reference_trend_pool_eligible,calibration_eligible,canonical_ml_entry_open,decision_pool_boundary,evidence_note
reference_trend_520_p1_batch17_post_mapping_action_board_0001,group_action,10412-101,10412,江西中医药大学,101,2025,广西,本科普通批,物理类,527,,mapping_candidate_only_rank_and_group_confirmation_blocked,marker_139_completed_candidate_only_mapping_QA,Wait for official group-code confirmation and official rank raw artifact; do not intake.,official_group_mapping_confirmation_and_marker_136_official_rank_raw_artifact,true,reference_trend_520_p1_batch17_official_score_rank_capture_approval_packet_0001,527,10412-101,group_mapping_rank_join_QA_sheet,https://zsxxw.jxutcm.edu.cn/info/1049/2562.htm,false,false,false,do_not_merge_with_32_school_decision_pool,confirm short source group to Guangxi group mapping and official min-rank source before intake
reference_trend_520_p1_batch17_post_mapping_action_board_0002,group_action,10537-101,10537,湖南农业大学,101,2025,广西,本科普通批,物理类,,,local_static_table_alignment_checklist_ready,official_html_table_candidate_recorded_alignment_preview_not_yet_parsed_locally,Prepare table-alignment checklist from recorded official candidate; do not fetch new page.,local_table_alignment_then_official_score_and_rank_source,false,,,,source_packet_html_table_alignment_preview,https://zs.hunau.edu.cn/zsjh/202506/t20250625_466994.html,false,false,false,do_not_merge_with_32_school_decision_pool,"align Guangxi column, physics ordinary-batch rows, group or major structure, and plan counts"
reference_trend_520_p1_batch17_post_mapping_action_board_0003,group_action,10229-101,10229,牡丹江医科大学,101,2025,广西,本科普通批,物理类,,,local_static_summary_only_no_parse_ready,no_local_parse_artifact_ready,"Keep as local QA placeholder until a local cache, official raw artifact, or approval exists.",local_cache_or_approved_artifact,false,,,,source_packet_detail_page_reachability_or_parse_preview,https://www.mdjmu.cn/bkzsw/zsjh.htm,false,false,false,do_not_merge_with_32_school_decision_pool,retry auditable static detail page; isolate medical ordinary-batch rows before any preview
reference_trend_520_p1_batch17_post_mapping_action_board_0004,group_action,10596-153,10596,桂林理工大学,153,2025,广西,本科普通批,物理类,490,,official_score_available_rank_raw_needed,official_candidate_and_line_score_exist_plan_mapping_or_detail_parse_not_ready,Keep min_rank blank and fan out only after marker 136 official raw artifact is approved/provided.,marker_136_official_one_score_one_rank_raw_artifact,true,reference_trend_520_p1_batch17_official_score_rank_capture_approval_packet_0002,490,10596-153|10092-151,plan_mapping_and_official_rank_join_readiness,https://zscx.glut.edu.cn/f/listPlan,false,false,false,do_not_merge_with_32_school_decision_pool,combine existing official candidate with min_score; keep min_rank empty until official rank source appears
reference_trend_520_p1_batch17_post_mapping_action_board_0005,group_action,10407-102,10407,江西理工大学,102,2025,广西,本科普通批,物理类,461,,official_score_available_rank_raw_needed,official_candidate_and_line_score_exist_plan_mapping_or_detail_parse_not_ready,Keep min_rank blank and fan out only after marker 136 official raw artifact is approved/provided.,marker_136_official_one_score_one_rank_raw_artifact,true,reference_trend_520_p1_batch17_official_score_rank_capture_approval_packet_0004,461,10407-102,plan_mapping_and_official_rank_join_readiness,https://zs.jxust.edu.cn/zsxx/zsjh.htm,false,false,false,do_not_merge_with_32_school_decision_pool,combine existing official candidate with min_score; keep min_rank empty until official rank source appears
reference_trend_520_p1_batch17_post_mapping_action_board_0006,group_action,10092-151,10092,河北北方学院,151,2025,广西,本科普通批,物理类,490,,official_score_available_rank_raw_needed,official_candidate_and_line_score_exist_plan_mapping_or_detail_parse_not_ready,Keep min_rank blank and fan out only after marker 136 official raw artifact is approved/provided.,marker_136_official_one_score_one_rank_raw_artifact,true,reference_trend_520_p1_batch17_official_score_rank_capture_approval_packet_0002,490,10596-153|10092-151,plan_mapping_and_official_rank_join_readiness,https://zhaolu.zjzw.cn/release-page/plan?key=8b9f6783d3eb9fdd74d58fa3,false,false,false,do_not_merge_with_32_school_decision_pool,combine existing official candidate with min_score; keep min_rank empty until official rank source appears
reference_trend_520_p1_batch17_post_mapping_action_board_0007,group_action,10092-152,10092,河北北方学院,152,2025,广西,本科普通批,物理类,462,,official_score_available_rank_raw_needed,official_candidate_and_line_score_exist_plan_mapping_or_detail_parse_not_ready,Keep min_rank blank and fan out only after marker 136 official raw artifact is approved/provided.,marker_136_official_one_score_one_rank_raw_artifact,true,reference_trend_520_p1_batch17_official_score_rank_capture_approval_packet_0003,462,10092-152,plan_mapping_and_official_rank_join_readiness,https://zhaolu.zjzw.cn/release-page/plan?key=8b9f6783d3eb9fdd74d58fa3,false,false,false,do_not_merge_with_32_school_decision_pool,combine existing official candidate with min_score; keep min_rank empty until official rank source appears
reference_trend_520_p1_batch17_post_mapping_action_board_0008,group_action,10466-152,10466,河南农业大学,152,2025,广西,本科普通批,物理类,382,,official_score_available_rank_raw_needed,official_candidate_and_line_score_exist_plan_mapping_or_detail_parse_not_ready,Keep min_rank blank and fan out only after marker 136 official raw artifact is approved/provided.,marker_136_official_one_score_one_rank_raw_artifact,true,reference_trend_520_p1_batch17_official_score_rank_capture_approval_packet_0005,382,10466-152,plan_mapping_and_official_rank_join_readiness,https://zs.henau.edu.cn/html/plan_2025.html,false,false,false,do_not_merge_with_32_school_decision_pool,combine existing official candidate with min_score; keep min_rank empty until official rank source appears
reference_trend_520_p1_batch17_post_mapping_action_board_0009,group_action,14275-105,14275,浙江外国语学院,105,2025,广西,本科普通批,物理类,,,needs_ocr_or_manual_image_review_approval,official_image_or_visual_plan_candidate_not_parsed,Hold until user approves OCR/manual image review or provides official extracted table.,ocr_or_manual_image_review_approval_or_official_extracted_table,true,,,,existing_candidate_parse_or_filter_readiness,https://zs.zisu.edu.cn/info/1051/2044.htm,false,false,false,do_not_merge_with_32_school_decision_pool,confirm target group on official line-score page and isolate normal/language teacher-direction boundary
reference_trend_520_p1_batch17_post_mapping_action_board_0010,group_action,10513-105,10513,湖北师范大学,105,2025,广西,本科普通批,物理类,,,local_group_boundary_checklist_ready,official_aggregate_candidate_recorded_group_boundary_not_yet_resolved,Prepare group-boundary checklist from recorded official candidate; do not fetch new page.,local_group_boundary_review_then_official_score_and_rank_source,false,,,,existing_candidate_parse_or_filter_readiness,https://xxgk.hbnu.edu.cn/2025/1029/c3388a185166/page.htm,false,false,false,do_not_merge_with_32_school_decision_pool,confirm target group on official line-score page and isolate normal/language teacher-direction boundary
